sr_no,state,mp_name,constituency,constituency_clean,allocated_amount_inr,is_reserved_sc,is_reserved_st,is_missing_amount,is_invalid_amount,is_duplicate_constituency,is_data_quality_issue
185,Karnataka,GOVIND MAKTHAPPA KARJOL,CHITRADURGA(SC),CHITRADURGA,147000000.0,True,False,False,False,False,False
186,Andhra Pradesh,Gumma Thanuja Rani,ARAKU(ST),ARAKU,149458905.11,False,True,False,False,False,False
187,Punjab,GURMEET SINGH MEET HAYER,SANGRUR,SANGRUR,147000000.0,False,False,False,False,False,False
188,Madhya Pradesh,Gyaneshwar Patil,KHANDWA,KHANDWA,155690684.77,False,False,False,False,False,False
189,Karnataka,H.D. KUMARASWAMY,MANDYA,MANDYA,147000000.0,False,False,False,False,False,False
190,Uttar Pradesh,HARENDRA SINGH MALIK,MUZAFFARNAGAR,MUZAFFARNAGAR,147000000.0,False,False,False,False,False,False
191,Gujarat,HARIBHAI PATEL,MAHESANA,MAHESANA,147000000.0,False,False,False,False,False,False
192,Rajasthan,HARISH CHANDRA MEENA,TONK-SAWAI MADHOPUR,TONK-SAWAI MADHOPUR,147000000.0,False,False,False,False,False,False
193,Delhi,Harsh Malhotra,EAST DELHI,EAST DELHI,147134131.0,False,False,False,False,False,False
194,Gujarat,Hasmukh Bhai Soma Bhai Patel,AHMEDABAD EAST,AHMEDABAD EAST,147000000.0,False,False,False,False,False,False
195,Uttar Pradesh,IMRAN MASOOD,SAHARANPUR,SAHARANPUR,147000000.0,False,False,False,False,False,False
196,Sikkim,Indra Hang Subba,SIKKIM,SIKKIM,152003923.11,False,False,False,False,False,False
197,Uttar Pradesh,IQRA CHOUDHARY,KAIRANA,KAIRANA,147000000.0,False,False,False,False,False,False
198,West Bengal,ISHA KHAN CHOUDHURY,MALDAHA DAKSHIN,MALDAHA DAKSHIN,147000000.0,False,False,False,False,False,False
199,West Bengal,JAGADISH CHANDRA BARMA BASUNIA,COOCHBEHAR(SC),COOCHBEHAR,168604641.11,True,False,False,False,False,False
200,Karnataka,JAGADISH SHETTAR,BELGAUM,BELGAUM,147000000.0,False,False,False,False,False,False
201,West Bengal,Jagannath Sarkar,RANAGHAT(SC),RANAGHAT,147000000.0,True,False,False,False,False,False
202,Uttar Pradesh,Jagdambika Pal,DOMARIYAGANJ,DOMARIYAGANJ,160643957.11,False,False,False,False,False,False
203,Haryana,JAI PARKASH,HISAR,HISAR,147000000.0,False,False,False,False,False,False
204,Uttar Pradesh,Jai Prakash,HARDOI (SC),HARDOI,147000000.0,True,False,False,False,False,False
205,Madhya Pradesh,Janardan Mishra,REWA,REWA,147000000.0,False,False,False,False,False,False
206,Gujarat,JASHUBHAI BHILUBHAI RATHVA,CHHOTA UDAIPUR(ST),CHHOTA UDAIPUR,147000000.0,False,True,False,False,False,False
207,Gujarat,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),DAHOD,147000000.0,False,True,False,False,False,False
208,Bihar,JITAN RAM MANJHI,GAYA (SC),GAYA,147000000.0,True,False,False,False,False,False
209,Uttar Pradesh,JITENDRA KUMAR DOHARE,ETAWAH(SC),ETAWAH,188747306.26,True,False,False,False,False,False
210,Jammu And Kashmir,Jitendra Singh,UDHAMPUR,UDHAMPUR,147000000.0,False,False,False,False,False,False
211,Uttar Pradesh,JITIN PRASADA,PILIBHIT,PILIBHIT,147000000.0,False,False,False,False,False,False
